source,assay_chembl_id,record_id,molecule_chembl_id,canonical_smiles,molwt,std_type,std_value,std_units,pchembl_value,pX,label,QED,SA
ChEMBL,CHEMBL4329932,18946278,CHEMBL4456598,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cc(O)cc4ccccc24)C3)CC1,528.6570000000002,IC50,16000.0,nm,,4.795880017344075,0,,
ChEMBL,CHEMBL4677891,22438500,CHEMBL4796065,CN(C)Cc1[nH]c2ccccc2c1[C@H]1NC(=O)c2ccc(O)cc21,321.38000000000005,IC50,33000.0,nm,4.48,4.48,0,,
ChEMBL,CHEMBL4677891,22438501,CHEMBL4788500,O=C1N[C@H](c2c(CNCc3ccc4ccn(Cc5ccccc5)c4c3)[nH]c3ccccc23)c2cc(O)ccc21,512.6130000000002,IC50,870.0,nm,6.06,6.06,1,,
ChEMBL,CHEMBL4677893,22438503,CHEMBL4750445,Cn1cnc(Cn2ccc3ccc(CNCc4[nH]c5ccccc5c4[C@H]4NC(=O)c5ccc(O)cc54)cc32)c1,516.6050000000002,IC50,450.0,nm,6.35,6.35,1,,
ChEMBL,CHEMBL4837101,23280825,CHEMBL4852554,CN(C)CC1(COc2nc(N3CC4CCC(C3)N4)c3cc(F)c(-c4cc(O)cc5ccccc45)c(F)c3n2)CC1,545.634,IC50,5.1,nm,8.29,8.29,1,,
ChEMBL,CHEMBL4845550,23316922,CHEMBL4872788,Fc1c(-c2cccc3c2CC2CC32)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12,544.6500000000002,IC50,20.1,nm,7.70,7.70,1,,
ChEMBL,CHEMBL5047300,24415469,CHEMBL5080840,CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,514.6050000000001,IC50,530.0,nm,6.28,6.28,1,,
ChEMBL,CHEMBL5047300,24415470,CHEMBL5090412,CN(C)C1CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)C1,499.5940000000002,IC50,1300.0,nm,5.89,5.89,0,,
ChEMBL,CHEMBL5047300,24415471,CHEMBL5080117,Cn1ccnc1CCOc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,525.5880000000002,IC50,3500.0,nm,5.46,5.46,0,,
ChEMBL,CHEMBL5047300,24415472,CHEMBL5085544,Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OCCN4C[C@@H]5C[C@H]4CO5)nc3c2F)c2ccccc2c1,542.6150000000004,IC50,3000.0,nm,5.52,5.52,0,,
ChEMBL,CHEMBL5047300,24415473,CHEMBL5091064,Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2ccccc2c1,540.6430000000004,IC50,270.0,nm,6.57,6.57,1,,
ChEMBL,CHEMBL5047300,24415477,CHEMBL5084656,Fc1c(-c2cccc3cccc(F)c23)ncc2c(N3C[C@H]4CC[C@@H](C3)N4)nc(OCC34CCCN3CCC4)nc12,542.6340000000004,IC50,380.0,nm,6.42,6.42,1,,
ChEMBL,CHEMBL5047300,24415479,CHEMBL5093531,Cc1cccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,538.6710000000005,IC50,2500.0,nm,5.60,5.60,0,,
ChEMBL,CHEMBL5047300,24415482,CHEMBL5091244,C#Cc1cccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,548.6660000000005,IC50,71.0,nm,7.15,7.15,1,,
ChEMBL,CHEMBL5047300,24415483,CHEMBL5094356,Fc1ccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c2c1,542.6340000000004,IC50,370.0,nm,6.43,6.43,1,,
ChEMBL,CHEMBL5047300,24415489,CHEMBL5089026,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)ncnc3c2F)c2ccccc2c1,401.44500000000005,IC50,10000.0,nm,,5.0,0,,
ChEMBL,CHEMBL5047300,24415490,CHEMBL5073668,CN(C)CCOc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,488.5670000000002,IC50,10000.0,nm,,5.0,0,,
ChEMBL,CHEMBL5047300,24415492,CHEMBL5082116,Fc1c(-c2cccc3ccccc23)ncc2c(N3C[C@H]4CC[C@@H](C3)N4)nc(OCC34CCCN3CCC4)nc12,524.6440000000005,IC50,10000.0,nm,,5.0,0,,
ChEMBL,CHEMBL5256557,25084400,CHEMBL5277217,[2H]C([2H])(Oc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)ccc1C(F)(F)F)C2)C12CCCN1CCC2,546.6342035560001,IC50,250.0,nm,,6.6020599913279625,1,,
ChEMBL,CHEMBL5374156,25663167,CHEMBL5431156,N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)ncnc4c3F)c12,482.9470000000003,IC50,5.32,nm,8.27,8.27,1,,
ChEMBL,CHEMBL5540171,25963164,CHEMBL5569441,CCc1cccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@H]5CCCN5C)nc4c3F)c12,542.6590000000003,IC50,5.8,nm,8.24,8.24,1,,
ChEMBL,CHEMBL5736486,28261694,CHEMBL5938048,O=C(CCc1c[nH]c2ccccc12)Nc1nnc(-c2ccccn2)[nH]1,332.367,IC50,5000.0,nm,,5.301029995663981,0,,
ChEMBL,CHEMBL5736486,28261697,CHEMBL5884320,CC(Oc1cccc(C#N)c1)C(=O)Nc1nnc(-c2ccccn2)[nH]1,334.33899999999994,IC50,5000.0,nm,,5.301029995663981,0,,
ChEMBL,CHEMBL5736486,28261700,CHEMBL5866398,Cc1cccc(OCC(=O)Nc2nnc(-c3ccccn3)[nH]2)c1,309.329,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261703,CHEMBL5817812,O=c1nc(-c2ccccn2)[nH]c2c1sc1ccccc12,279.324,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261706,CHEMBL5924005,COc1ccc(COCC(=O)N2CCCc3c(O)nc(-c4ccccn4)nc32)cc1,406.44200000000006,IC50,5000.0,nm,,5.301029995663981,0,,
ChEMBL,CHEMBL5736486,28261709,CHEMBL5756840,CS(=O)(=O)c1cccc(C(=O)N2CCCc3c(O)nc(-c4ccccn4)nc32)c1,410.45500000000004,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261712,CHEMBL5926740,O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CCN(c2ccccc2)CC1,417.49400000000026,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261715,CHEMBL5825935,Oc1nc(-c2ccccn2)nc2sccc12,229.26399999999998,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261718,CHEMBL5785483,OCc1ccnc(-c2nc(O)c3ccsc3n2)c1,259.29,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261721,CHEMBL5873415,O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CCN(Cc2cccc(O)c2)CC1,447.5200000000003,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261724,CHEMBL5886946,O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CCOC(c2nccs2)C1,425.49500000000023,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261727,CHEMBL5878920,CC1CN(c2ccccc2)CCN1C(=O)c1csc2c(O)nc(-c3ccccn3)nc12,431.5210000000001,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261730,CHEMBL5741814,COc1ccccc1C1CN(C(=O)c2csc3c(O)nc(-c4ccccn4)nc23)CCO1,448.5040000000002,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261733,CHEMBL5904679,O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CCOC(c2ccccc2Cl)C1,452.92300000000023,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261736,CHEMBL6048725,COc1cccc(C2CN(C(=O)c3csc4c(O)nc(-c5ccccn5)nc34)CCN2)c1,447.52000000000015,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261739,CHEMBL5949944,N#Cc1ccc(COCC(=O)Nc2nc(-c3ccccn3)nc3sccc23)cc1,401.4510000000001,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261742,CHEMBL5762420,OCc1ccnc(-c2nc(O)c3c(Cl)csc3n2)c1,293.735,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261745,CHEMBL5884953,O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CCN(c2ccc(O)c(Cl)c2)CC1,467.93800000000033,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261748,CHEMBL6051970,CC(c1ccccc1)N1CCN(C(=O)c2csc3c(O)nc(-c4ccccn4)nc23)CC1,445.5480000000002,IC50,20500.0,nm,4.69,4.69,0,,
ChEMBL,CHEMBL5736486,28261751,CHEMBL5981972,O=C(c1csc2c(O)nc(-c3ccccn3)nc12)N1CCNC(c2ccc(O)cc2)C1,433.4930000000002,IC50,7500.0,nm,5.12,5.12,0,,
ChEMBL,CHEMBL5736486,28261754,CHEMBL5789053,CN1CCN(c2nc(-c3ccccn3)nc3scc(C(=O)NCCc4cnc(O)nc4)c23)CC1,476.5660000000004,IC50,30000.0,nm,,4.522878745280337,0,,
