smiles,selfies
CC1C=CC=CC(C)C23C(F)=C4NC5(C=N1)N=CN1C2CCC41CN3CN=CN=COC1=C(Cl)C=C5C1(C)N,[C][C][Branch1][C][N][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][O][C][=N][C][=N][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][C][=N][C][Branch1][#C][C][=N][C][Branch1][C][C][C][=C][C][=C][C][Ring1][=C][C][Ring2][Ring1][=Branch1][=N][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][C][F][=C][Ring2][Ring1][C][C][C][Ring2][Ring2][Ring2]
CC(N=C(N=COCC1=NCC1)C1CC2CCC(C1)N2)OC[CH]CC=N,[C][C][N][=C][Ring1][Branch1][C][O][C][=N][C][Branch1][#C][C][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][C@@H1][C][O][C][C@H1][C][C][Ring1][Branch1][=N][Ring2][Ring1][#Branch1][F][=C][Ring2][Ring1][C][F][=C][Ring2][Ring2][Ring2][Ring1][Ring2][Ring2][Branch1]
CCCC(C)C=CC1=NC2=CC(N3CC4CCC(C3)N4)=NCNCCCC3CC3CC=CC2=C1O,[C][C][C][C][Branch1][C][=C][C][=C][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][Ring1][#Branch1][N][=C][=Branch1][=N][C][=C][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][O][O][=Ring1]
FC1(F)N=C(N=C[CH]CCC=CC2CC2)N2CC3CCC1(C2)N3,[C][C][C][Ring1][=C][C][=C][C][Branch2][Branch1][O][C][C@H1][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][F][C][C][C][C][C][Branch1][O][C][C][Ring1][=Branch1][C][Ring2][Ring1][Branch1][F]
C=CC=C(O)C=CC=CC1(C=CN=C[O-])CC=NC=CC12C=CC=CC(=C(F)C=C(N)C=C)C=N2,[O-1][C][=N][C][=C][C][Branch2][Branch1][Branch2][C][C][=N][C][=C][C][Branch1][#C][N][=C][C][=C][Branch1][C][F][C][=C][Branch1][C][=N][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][N][Ring1][O][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][C][C][=C][C][=C][C][Branch1][C][O][=C][C][=C]
CN=CNC1(C)CCCN1C(C=CN=CC1C=CC=CCOC1)OC1CCCC1CF,[C][O][=C][C][=C][C][=C][C][=Branch1][C][Branch2][Ring1][O][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][Branch1][C][C][Ring1][Branch1][N][C][=N][C][Branch1][#C][O][C][C][C][C][C][Ring1][Branch1][C][F][Ring1][Branch1][C][=N][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][=N][F]
CNC=CC=CCC=NC=CC(N=CC=NC1=CC=NC(C=Nc2cccccc(O)ccc2)CC2CCC(CO1)N2)N1CC2CCC(C1)N2,[C][N][C][=C][C][=C][C][Branch2][Branch2][S][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][N][=C][C][=N][C][Branch1][#C][O][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][C][C][=N][C][=C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1]
FCc1ccco1,[O][C][=C][C][=C][Ring1][Branch1][C][F][=C][C][=C][C][=N][Ring1][=Branch1][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][O][C][C][C][C][C][N][Ring1][Branch1][C][C][C][Ring1][Branch2][=N][C][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][#Branch2][F][=C][C][Ring2][Ring1][C][=N][Ring2][Ring1][=Ring1]
C=CN1C2=CC=CC3=C4N=CC(=C(c5ccccc5CC31)C1(CC3CCC(N1)N3N)C(F)C=N2)C4=CF,[F][C][=C][C][=C][Branch1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][=C][C][Branch1][#C][N][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][C][F][C][=N][C][Ring1][P][=C][C][=C][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][P][N][=C][Ring2][Ring2][C]
CC=CC=CC=CC(C)N=CC1C=NC=C(O)C(F)CCC=NC=CC=C(CC=NC2Cc3ccccc3CO2)N2CC3CCC(C=N1)(C2)N3,[C][C][=C][C][=C][C][=C][C][=Branch1][C][C][N][=C][C][Branch2][Branch1][=Branch2][C][=N][C][=C][Branch1][C][O][=C][Branch1][C][F][C][Ring1][Branch1][C][C][=N][C][=C][C][=C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch1][O][O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch1][N][=C][Ring2][Ring1][C]
CCC=C=C(NC(=N)OCCCCOCC)OCC1CC[C@@H](C)N1,[C][C][C][=C][=C][Branch1][#C][O][C][C][C][C][C@@H1][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][O][O][C][C][C][C][O][C][C][Ring1][Branch2][=N][Ring2][Ring1][Ring2][Ring1][P][=C][Ring2][Ring1][O]
CCF,[C][Branch1][C][C][F][C][Branch1][C][C][=N][C][=C][C][Branch2][Ring1][N][C][=C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][=C][Ring1][O][Ring1][=C][C][=N][C][=C][Ring2][Branch1][C][C][F][N][=C][Ring2][Ring1][C][Ring2][Ring1]
C=CC=CC=COC12CC3(CCNC)CCC=CCNCC4CC[C@H](C)N4N(C)CCCC1C2N3,[C][N][C][C][C][Branch2][Ring1][2H][C][C][C][=C][C][Branch1][#C][N][C][C][C][C][C@H1][Branch1][C][C][N][Ring1][=Branch1][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][Ring1][O][Ring1][#Branch1][N][Ring1][Branch2][=N][C][C][Ring1][Branch2][=C][C][N][N][=C][C][Branch1][Branch2][O][C][=C][C][=C][C][=C][Ring1][#Branch1][Ring1][=Branch1][=N][C][Branch1][Ring2][C][=C][Ring1][O]
C1=NCNCC2CN1O2,[C][N][C][C][C][N][Branch1][Ring2][C][=N][Ring1][=C][O][Ring1][=Branch1][F][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][O][N][F][=C][C][=C][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring2][C][F]
[CH]C(C=CC=CC)CC=C=C(C)CC=C=C1CN=CC2(C)NCCC2CCCCNC(N2CC3CCC(C2)N3)=CC=CC=CCC=CN1,[C][C][=C][C][=C][C][=Branch1][C][C@@H1][=C][C][=C][#C][Branch1][C][C][=C][C][=C][C][#Branch1][N][Ring1][C][=N][C][=C][C][Branch2][Ring1][#C][C][=C][C][=C][C][=C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][C][Branch1][#C][C][C][C][C][C][N][C][Branch1][C][C][Ring1][Branch1][C][=N][C][Branch2][Branch2][Ring2][Ring1][C]
N=C[S+]CC=C(C=CNCCCCCN=CC(N)=CO)C1NCCCC1CF,[O][C][=C][Branch1][C][N][C][=N][C][Branch2][Branch1][#C][C][C][C][C][N][C][=C][C][Branch1][#C][C][N][C][C][C][C][Branch1][Branch1][C][F][C][Ring1][#Branch1][N][Ring1][=Branch1][C][=N][C][Branch2][C][Branch1][C][O][C][=C][C][S+1][C][=N][Ring1][=Branch1][=N][C][=C][C][Ring1][O][=C][Ring1][O][F]
N=C1N=CCC23CC(N=CC=CF)C=CC=CC=CC2N=C3C1=C(C=NOC=CO)N1CC2CCC(C1)N2,[O][C][=C][O][N][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][Branch2][Ring1][C][C][=C][C][=C][C][=C][C][Branch1][C][#C][N][=C][C][=C][Branch1][C][F][C][Ring1][P][Ring1][#Branch1][=C][C][=N][C][Ring2][Ring1][=Branch1][=N][Ring2][Ring1][S][=C][Ring2][Ring2][Ring1]
CC(O)=CC=CC=CC=C(O)N=CC1(NC=NC(=CC=NC=NC=C2C=CCc3cccc(Cl)c32)N2CCCCC(N)C2)C=CO1,[O][C][=C][C][Branch2][Ring1][C][C][=N][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Branch1][C][O][=C][Ring1][=Branch1][N][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][Branch2][=C][C][=N][C][=N][C][=C][C][=C][C][Branch2][Ring1][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][O][Ring1][#Branch1][=C][C][=N][C][Ring1][Branch2]
C=C1C=CC=CC=CC(F)OC=C(N2CC3CCC(C2)N3)N1,[O][C][=C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][C][Branch1][#C][F][C][C][Branch1][C][F][=C][Ring1][C][C][Ring1][#Branch1][=N][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][P]
CCNCCC(C)COOC=NCCCC=NC(Cl)=c1ncccc1=CF,[C][C][N][C][C][C][Branch1][C][C][=Branch2][N][=Branch1][C][O][O][C][=N][C][Branch2][Branch1][N][C][C][C][=N][C][Branch1][C][Cl][=C][Ring1][=Branch2][N][=C][C][=C][C][Ring1][=Branch1][=C][Branch2][Ring1][C][F][=C][C][=C][C][=C][C][Ring1][#Branch1][N][=C][Ring2][Ring2][=Branch1][Ring2][Ring1][#Branch2]
C1=CC=CC=COC=1,[Ring1][O][C][=C][C][=C][C][=C][C][=Ring1][C][Ring2][Ring1][=Branch1][N][=C][Ring2][Branch1][C][=Branch2][C][=N][C][=C][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring1][C][Ring1][#Branch1][N][Ring1][Branch2][=N][C][Branch1][C][F][C][Ring1][C][=N][Ring2][Ring1][=C]
C(=NCN1CC2CCC3(C1)N=C(OCC14CCCN1CCC4)NN23)c1ccccc1,[C][=C][C][=C][C][=C][Ring1][Branch2][C][=N][C][=Branch2][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][O][C][C][C][C][C][N][Ring1][Branch1][C][C][C][Ring1][Branch2][=N][Ring2][Ring1][Ring1][=C][Ring2][Ring1][N][F]
OCCC1=NC=NC(N2CC3CCC(C2)N3)C#CC=CC=CN=CC(Cl)N1,[O][C][C][C][=Branch2][C][Branch2][=N][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][C][Cl][C][=N][C][=C][C][=C][C][Ring1][Branch2][=C][Ring2][Ring1][Ring2][Ring1]
NNC1N=CN(CCCOC2=CN=CC23CCNC[C@@H]3Cc2cccc3c2C(N)[C]CCC3)O1,[C][C][C][C@@][C][Branch1][C][=N][C][=C][Ring1][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][C][N][C][C][C][Ring1][=Branch1][C][=N][C][=C][Ring1][Branch1][O][C][C][C][N][Branch1][C][O][C][=N][C][Branch1][Ring1][=N][N][Ring1][=C][=Ring1][Ring2][Ring1][C][Branch1][C][N][C][Branch2][Ring2][Ring2][C][Ring1][#Branch1][=C][Ring2][Ring2][Ring2][Ring2][Ring1][#Branch2]
C[CH]C1=NC(N=C(O)c2ccccc2Cl)OCCCCC(C)NC23CCC(CN(CN=COCOC1)C2)N3,[C][C@H1][C][Branch2][Ring1][C][C][O][C][O][C][=N][C][Branch1][#C][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=N][C][Branch1][#C][O][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=N][N][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][Ring2][Ring1][S][Ring2][Ring2][Ring1]
FC12CC3=CC(=N1)N2CC=NC=C1C2C=CSCC312,[C][C][=C][C][=N][C][Branch1][#C][F][C][C][C][=C][C][Branch1][#C][N][C][C][C][C][C@H1][Branch1][Ring2][C][Ring1][#Branch1][N][Ring1][=Branch1][=C][C][=N][C][=C][Ring1][S][C][Ring2][Ring1][=Branch2][C][=C][S][C][Ring2][Ring1][#Branch1]
